movie_title,review
전지적 독자 시점,원작을 안 본 상태로 시청하였습니다. 스토리상 개연성이 다소 부족한 부분이 존재하긴 하지만 전체적으로 재미있게 봤습니다. 특히 불안했던 CG가 잘 나와서 보기 좋았습니다.
전지적 독자 시점,b en
전지적 독자 시점,킬링타임용으로 괜찮은 것 같다. 걱정했던 결말은 잘 마무리 지은 것 같아 괜찮아 보인다. 하지만 마지막 부분 스토리가 조금 아쉬웠다.
전지적 독자 시점,rohhyunj
전지적 독자 시점,웹소설도 한번 읽어보고 싶다
전지적 독자 시점,선우
전지적 독자 시점,원작 팬들에겐 광장 이상 급의 충격일 듯...
S라인,친절한_짱구_536087
S라인,진짜 최악의 연출ㅎㅎ 학폭씬 연출하는데 고층아파트에 둘러싸인 학교옥상에서 친구 줘패는 거 보고 바로 꺼버림. 위에 수천개의 눈이 달렸는데 아무도 신고 안한다고?ㅎㅎ
S라인,낯선사람
S라인,일단 소재는 신선.
S라인,닉네임
S라인,곁가지가 너무 많다. 산만함을 넘어 민망하기까지 하다.
S라인,당첨플리즈
S라인,"재미있는데 연기가……초능력 드라마중에서 가장 안부러운 초능력을 소재로해서 신선하고 예측불허임 
그리고 이수혁 많이 늙었넹…..뱀파이어인줄 알았는데…."
S라인,도도한_올라프_930741
S라인,"이 참신한 소재와 배우들을 가지고
스토리 전개, 연출 최악입니다.
소재가 너무 아깝다.
작가는 진지하게 다른 길 찾으시길"
S라인,신이난_침착맨_465784
S라인,각색 좀 들어갔는데 킬링타임용으론 괜찮은듯.
S라인,Touché
S라인,"실사화에 걸맞지 않은 유치한 연출, 극을 리드할만한 능력이 없는 주연들."
S라인,옆태구와꽁냥꽁양
S라인,무슨 개연성이 1도 없네... 담임이 안경사인가... 기기괴괴 에피 모음집같네 작가가 초딩이면 이해되네
S라인,ruru
S라인,소재는 신선한데 내용이 재미없어요..
독수리 5형제를 부탁해!,싹싹한_엘사_174288
독수리 5형제를 부탁해!,진부
독수리 5형제를 부탁해!,니가그렇지모
